MTU,DE_50HzT -> PL,PL -> DE_50HzT,DE_50HzT -> CZ,CZ -> DE_50HzT,DE_50HzT -> DK,DK -> DE_50HzT
02:00 - 03:00,1638.16,0.00,2051.45,0.00,306.37,0.00
03:00 - 04:00,1571.28,0.00,2006.70,0.00,302.87,0.00
04:00 - 05:00,1404.23,0.00,2062.39,0.00,253.01,0.00
05:00 - 06:00,1498.78,0.00,2045.42,0.00,231.00,0.00
06:00 - 07:00,1632.36,0.00,1998.82,0.00,211.83,0.00
07:00 - 08:00,1568.15,0.00,1968.34,0.00,196.12,0.00
08:00 - 09:00,1601.66,0.00,1819.85,0.00,175.57,0.00
09:00 - 10:00,1545.70,0.00,1672.27,0.00,175.06,0.00
10:00 - 11:00,1415.56,0.00,1754.87,0.00,216.19,0.00
11:00 - 12:00,1439.35,0.00,1831.15,0.00,191.19,0.00
12:00 - 13:00,1489.64,0.00,1941.62,0.00,175.69,0.00
13:00 - 14:00,1570.28,0.00,1823.38,0.00,186.57,0.00
14:00 - 15:00,1566.69,0.00,1956.88,0.00,213.51,0.00
15:00 - 16:00,1455.80,0.00,2013.59,0.00,465.47,0.00
16:00 - 17:00,1347.28,0.00,1911.95,0.00,454.65,0.00
17:00 - 18:00,1539.21,0.00,1978.52,0.00,454.52,0.00
18:00 - 19:00,1459.07,0.00,1806.57,0.00,445.69,0.00
19:00 - 20:00,1398.92,0.00,1895.70,0.00,445.48,0.00
20:00 - 21:00,1105.25,0.00,1718.00,0.00,446.19,0.00
21:00 - 22:00,978.31,0.00,1623.83,0.00,471.98,0.00
22:00 - 23:00,944.20,0.00,1606.57,0.00,471.21,0.00
23:00 - 00:00,1530.00,0.00,1800.43,0.00,419.26,0.00
00:00 - 01:00,1085.11,0.00,1195.64,0.00,415.64,0.00
01:00 - 02:00,1260.45,0.00,1634.09,0.00,418.64,0.00
02:00 - 03:00,1333.49,0.00,1577.40,0.00,428.29,0.00
03:00 - 04:00,1032.35,0.00,1529.25,0.00,419.89,0.00
04:00 - 05:00,1225.80,0.00,1588.95,0.00,433.82,0.00
05:00 - 06:00,1212.40,0.00,1551.78,0.00,497.34,0.00
06:00 - 07:00,1050.01,0.00,1505.40,0.00,466.77,0.00
07:00 - 08:00,1225.01,0.00,1613.60,0.00,222.29,1.65
08:00 - 09:00,1040.47,0.00,1542.75,0.00,0.00,330.16
09:00 - 10:00,1162.98,0.00,1655.10,0.00,0.00,355.78
10:00 - 11:00,1014.19,0.00,1480.23,0.00,0.00,356.55
11:00 - 12:00,1133.79,0.00,1560.44,0.00,0.00,353.23
12:00 - 13:00,1314.35,0.00,1644.75,0.00,0.95,215.17
13:00 - 14:00,1186.92,0.00,1407.27,0.00,6.30,112.90
14:00 - 15:00,1064.51,0.00,1207.67,0.00,0.08,141.77
15:00 - 16:00,998.26,0.00,1049.15,0.00,0.00,473.29
16:00 - 17:00,745.67,0.00,763.52,0.00,40.33,16.86
17:00 - 18:00,418.32,0.00,325.33,0.00,425.50,0.00
18:00 - 19:00,184.99,1.07,140.45,0.00,364.06,0.09
19:00 - 20:00,225.04,1.14,189.65,0.00,15.19,5.49
20:00 - 21:00,475.27,71.44,21.27,66.94,0.09,225.12
21:00 - 22:00,590.01,3.99,40.93,4.49,0.00,427.31
22:00 - 23:00,617.12,0.16,113.02,0.00,0.02,477.93
23:00 - 00:00,480.99,79.42,31.79,44.90,0.09,119.49
00:00 - 01:00,585.43,229.40,4.33,15.95,0.21,150.64
01:00 - 02:00,617.09,144.75,242.60,0.00,0.37,235.58
02:00 - 03:00,968.86,0.00,559.20,0.00,0.00,491.76
